id,vendor_id,vendor_name,invoice_number,amount,amount_paid,due_date,status,created_at,updated_at
79d39918-1371-48c5-b850-61ce1f282c87,31ad5291-5c1b-5472-b0d2-067b555260c0,"US Bank","US BANK 1622  Paid 12/04/20",3121.88,3121.88,2020-12-31,paid,,
8b49256e-f4fe-4ab4-b3d0-a4e4c39c9405,f5ea209c-5b1c-58a4-80d7-ce3f42ab6bb6,"BP OIL","BP OIL",125.47,0.00,2020-12-31,overdue,,2026-05-07 01:00:00.207702
8da73b61-656c-40db-824a-f2175590d9e0,31ad5291-5c1b-5472-b0d2-067b555260c0,"US Bank","US BANK 1622  Paid 12/04/20",350.22,350.22,2020-12-31,paid,,
94978b50-e55b-470a-8a5c-1666e33cb1d0,e4171360-53bf-510d-a4f6-de2e9c094758,"Amex CC","AMEX CC 45009  12/09/20",3573.21,3573.21,2020-12-31,paid,,
a39f9bce-8f1d-43f8-b3a0-42beaae29c0c,e96bc647-6c97-573b-a96c-db1ffc54a83e,"American Express","American Express 12/14/20",3573.21,3573.21,2020-12-31,paid,,
a590bb4f-ad9e-4c25-bac7-c4196a144091,31ad5291-5c1b-5472-b0d2-067b555260c0,"US Bank","US BANK 1622  Paid 12/04/20",1014.00,1014.00,2020-12-31,paid,,
d3cde0d9-5f29-4ea2-af20-a89d5e6a3de2,01059055-f8f1-504a-84e3-8013b40e8dba,"Points Redeemed For Statement Credit Tibtsadik","Points Redeemed for Statement Credit TibTsadik",75.00,75.00,2020-12-31,paid,,
d8f59b6e-3ccd-4f79-be69-ebd5af40066c,e4171360-53bf-510d-a4f6-de2e9c094758,"Amex CC","AMEX CC 45009  12/09/20",500.00,500.00,2020-12-31,paid,,
e8d4e4e4-a7fb-4219-aa2c-07e734e6da12,01059055-f8f1-504a-84e3-8013b40e8dba,"Points Redeemed For Statement Credit Tibtsadik","Points Redeemed for Statement Credit TibTsadik",1400.00,1400.00,2020-12-31,paid,,
ed01405a-a3d5-4958-b493-9b82ac8d0c00,77f8550a-5fa8-5c0b-918e-62e5d379f68b,"US Bank CC","US BANK CC # 5477  12/10/20",335.78,0.00,2020-12-31,overdue,,2026-05-07 01:00:00.207702
fa7a73ef-3bb7-420e-9600-8c9151d29bb1,7ad5c9a3-6a37-55b2-a812-12d16abc4839,"DMP Vault Pymts East & West American Eagle","DMP VAULT PYMTS EAST & WEST AMERICAN EAGLE",9945.00,0.00,2020-12-31,overdue,,2026-05-07 01:00:00.207702
665bf2cc-e175-4bd5-b4d7-d52c648c9925,f5ea209c-5b1c-58a4-80d7-ce3f42ab6bb6,"BP OIL","BP OIL 04/26/22",125.47,0.00,2022-04-26,overdue,,2026-05-07 01:00:00.207702
a6564e3a-c8f2-4c6d-aa22-3165bcb0f23d,f5ea209c-5b1c-58a4-80d7-ce3f42ab6bb6,"BP OIL","BP OIL 04/28/22",87.32,0.00,2022-04-28,overdue,,2026-05-07 01:00:00.207702
9dd9629c-8c50-41df-a2e1-e43ccad298d9,6e1c004b-87b1-5114-8607-37ed68b5b4df,"EZ Storage","EZ STORAGE 05/02/22",195.00,0.00,2022-05-02,overdue,,2026-05-07 01:00:00.207702
07be6b1e-949c-4667-8daa-c41c5aee2165,e0da12e0-7778-5f32-9f92-342939a36795,"Speedway","SPEEDWAY 05/07/22",62.86,0.00,2022-05-07,overdue,,2026-05-07 01:00:00.207702
422d405e-54fb-4600-a8fd-877feebea1e6,f5ea209c-5b1c-58a4-80d7-ce3f42ab6bb6,"BP OIL","BP OIL 05/23/22",137.88,0.00,2022-05-23,overdue,,2026-05-07 01:00:00.207702
